,Case.ID,CD3D,CD3E,CD3G
330,TCGA-HT-8105,-1.099,0.0123,-0.929
331,TCGA-FG-A713,-1.3682,-0.9691,-0.8235
332,TCGA-DU-5849,0.1472,0.6182,-0.6573
333,TCGA-QH-A6X3,-1.3682,-0.359,-0.1605
334,TCGA-FG-A6J1,0.8651,0.6013,-0.7529
335,TCGA-FG-8191,0.0839,0.3634,-0.8924
336,TCGA-HT-7902,0.0091,0.824,0.5229
337,TCGA-DH-A66B,0.1084,0.7252,-0.4699
338,TCGA-HT-7480,-1.1184,-1.3906,-0.6612
339,TCGA-HT-7479,0.254,0.2917,-0.8765
340,TCGA-VM-A8C8,-1.3682,-1.1448,-0.7385
342,TCGA-FG-A70Z,1.2597,1.1835,-0.3451
343,TCGA-DU-5870,-0.5183,-0.2409,-0.2844
344,TCGA-R8-A6YH,-1.0492,-0.7293,-1.3337
345,TCGA-RY-A843,-1.3682,-0.8389,-0.5227
346,TCGA-DU-7008,-1.3682,-0.3329,-1.003
347,TCGA-QH-A870,-1.3682,-0.8491,-1.3337
348,TCGA-HT-7856,-0.7493,0.0136,-1.3337
349,TCGA-HT-7902,0.0091,0.824,0.5229
350,TCGA-HT-A618,0.7736,0.9041,0.5913
351,TCGA-HT-A4DS,2.2453,1.5798,-0.5741
352,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
353,TCGA-DU-7010,-1.1188,-0.2312,-0.9588
354,TCGA-HT-7601,1.3318,1.2384,0.9284
355,TCGA-TM-A84B,1.1073,1.1255,1.018
356,TCGA-DB-A4XE,-1.0116,-1.9298,-1.3337
357,TCGA-TM-A84R,-0.0081,-0.4034,-0.2102
358,TCGA-HT-7874,-1.3682,-0.9203,-1.3337
359,TCGA-E1-A7YS,-1.3682,-1.3117,-0.2813
360,TCGA-DU-A6S8,-0.7719,-0.103,-0.1386
361,TCGA-HT-A5R7,-0.9978,-0.5344,-1.3337
362,TCGA-QH-A6CS,-0.4894,-0.5713,-0.7473
363,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
364,TCGA-HT-7856,-0.7493,0.0136,-1.3337
365,TCGA-HT-7470,-0.7294,-0.9451,-0.1579
366,TCGA-HT-7882,2.6264,2.5035,3.4362
367,TCGA-HT-7468,-0.0808,0.5598,0.4787
368,TCGA-DU-A5TW,-1.0215,-1.6237,-1.3337
369,TCGA-RY-A847,-0.0595,-0.0973,-0.7592
370,TCGA-S9-A7R7,0.9963,1.0683,0.5614
371,TCGA-HT-7873,-1.3682,-1.2306,-1.3337
372,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
373,TCGA-HT-7854,-0.002,0.5137,-0.066
374,TCGA-DH-5141,-0.8372,-0.2575,-1.3337
375,TCGA-FN-7833,0.1707,-0.0784,-0.8847
376,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
377,TCGA-HT-7874,-1.3682,-0.9203,-1.3337
378,TCGA-DU-A5TU,-0.7876,-0.2627,-1.3337
379,TCGA-HT-7877,-1.3682,-0.0865,-0.0002
380,TCGA-HT-7694,-1.099,-0.9312,-0.6143
381,TCGA-TQ-A7RW,-0.0538,0.2477,-0.3455
382,TCGA-HT-A4DS,2.2453,1.5798,-0.5741
383,TCGA-HT-8108,0.2446,0.3255,-0.8811
384,TCGA-TQ-A7RR,-0.7829,-0.6872,-0.454
385,TCGA-HT-7609,-1.3682,-1.2833,-1.3337
386,TCGA-HT-7881,-0.5574,-0.3758,-0.1149
387,TCGA-HT-7854,-0.002,0.5137,-0.066
388,TCGA-E1-A7Z2,-1.3682,-1.6425,-1.3337
389,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
390,TCGA-HT-A74J,-1.0278,-0.6023,0.0961
391,TCGA-S9-A6TU,-1.3682,-0.6204,-0.7818
392,TCGA-HT-7858,0.9643,1.6798,0.1907
393,TCGA-TQ-A7RP,-0.6664,1.1185,-0.8896
394,TCGA-DU-5847,2.2558,2.1222,2.6884
395,TCGA-HT-7478,1.8213,1.9321,2.5541
396,TCGA-DU-7292,-0.9005,-0.1249,0.0245
397,TCGA-TM-A84T,-0.747,-0.3571,-0.7916
398,TCGA-QH-A6CW,-0.3207,0.5406,-0.0197
399,TCGA-TM-A7CF,-0.952,-0.9555,-1.3337
400,TCGA-IK-7675,-1.3682,-1.3705,-0.9413
401,TCGA-HT-A61B,0.0669,0.3454,-0.8108
402,TCGA-VM-A8CH,-0.5335,-0.6235,-0.784
403,TCGA-DU-A5TS,-1.3682,-1.2556,-1.3337
404,TCGA-S9-A6U8,-0.858,-0.5383,-1.3337
405,TCGA-HT-7677,-0.0762,-0.1056,0.6083
406,TCGA-HT-7470,-0.7294,-0.9451,-0.1579
407,TCGA-P5-A781,-0.8062,-0.5759,-0.8496
408,TCGA-HT-7857,2.6267,2.4747,3.7545
409,TCGA-S9-A6U9,0.0289,0.764,-0.7739
410,TCGA-TM-A84H,-1.0752,-0.6493,-0.8933
411,TCGA-VV-A86M,-0.4369,0.6617,-0.7027
412,TCGA-DH-A7UR,-1.3682,-0.5288,-0.86
413,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
414,TCGA-DB-A64R,-1.3682,-1.1796,-0.3695
415,TCGA-HT-7480,-1.1184,-1.3906,-0.6612
416,TCGA-HT-8010,-0.589,-0.0101,-0.829
417,TCGA-DU-6394,-1.1462,-1.1357,-1.3337
418,TCGA-DH-5144,-0.7356,0.1535,-0.6351
419,TCGA-DU-6404,0.278,0.7608,0.9956
420,TCGA-DU-A6S2,-0.7652,-0.6612,-1.3337
421,TCGA-DU-A7T6,0.877,0.6037,0.114
422,TCGA-DU-8167,-0.0752,0.136,0.2693
